Station Name,Station Number,Data Owner,Latitude,Longitude,Location
WERRIBEE DEL O/TAKE,231708,"VIC - Department of Environment, Land, Water and Planning",-37.97554108,144.6147922,VIC
WERRIBEE DR 6 DELLIS,231720A,VIC - Gippsland and Southern Rural Water Corporation (Southern Rural Water),-37.97089,144.69414,VIC
WERRIBEE M CH HEATHS,231723A,VIC - Gippsland and Southern Rural Water Corporation (Southern Rural Water),-37.88299,144.64832,VIC
WERRIBEE R MELTON RS,231221A,VIC - Gippsland and Southern Rural Water Corporation (Southern Rural Water),-37.74471,144.56932,VIC
WERRIBEE R-MELTON HG,231221A,VIC - Melbourne Water Corporation (Melbourne Water),-37.7446,144.57,VIC
WERRIBEE R-MELTON TG,231205D,VIC - Melbourne Water Corporation (Melbourne Water),-37.7463,144.572,VIC
WERRIBEE R-WERRIBEE,231237A,VIC - Melbourne Water Corporation (Melbourne Water),-37.8991,144.657,VIC
WERRIBEE RG,587030,VIC - Melbourne Water Corporation (Melbourne Water),-37.9171,144.642,VIC
WERRIBEE RIV-BALLAN,231225B,VIC - Melbourne Water Corporation (Melbourne Water),-37.6005,144.25,VIC
WERRIBEE RV BALLAN,231225B,VIC - Gippsland and Southern Rural Water Corporation (Southern Rural Water),-37.60051667,144.2502544,VIC
WERRIBEE STH CH 5/1,231712A,VIC - Gippsland and Southern Rural Water Corporation (Southern Rural Water),-37.95054,144.71815,VIC
WERRIBEE STH CH 6/1,231713A,VIC - Gippsland and Southern Rural Water Corporation (Southern Rural Water),-37.97088,144.69413,VIC
WERRIBEE STH MAIN CH,231714A,VIC - Gippsland and Southern Rural Water Corporation (Southern Rural Water),-37.97014,144.6851,VIC
WERRIBEE-BACCHUS MSH,231200B,VIC - Melbourne Water Corporation (Melbourne Water),-37.681,144.428,VIC
WERRIBEE-BALLAN,231225A,VIC - Melbourne Water Corporation (Melbourne Water),-37.60021231,144.249836,VIC
WERRIBEE-WYNDHAM VLE,231204A,VIC - Melbourne Water Corporation (Melbourne Water),-37.8797,144.646,VIC
WERRIBERRI@THIRLMERE,212067,"NSW - Department of Planning, Industry and Environment – Water",-34.22375126,150.5411296,NSW
West,614022,WA - Department of Water and Environmental Regulation,-32.6139,115.9735,WA
West Alligator R,G8190001,"NT - Department of Environment, Parks and Water Security",-12.792096,132.174876,NT
West Ave @ Robertson,A2391149,SA - South Eastern Water Conservation and Drainage Board,-36.58639053,140.0231761,SA
West Baines R,G8110006,"NT - Department of Environment, Parks and Water Security",-15.934028,129.738562,NT
West Barambah,136213A,"QLD - Department of Regional Development, Manufacturing and Water",-26.31776391,152.0652872,QLD
West Barratta,119103A,"QLD - Department of Regional Development, Manufacturing and Water",-19.54950194,147.2067013,QLD
WEST BARWON BARRAMUA,233267,"VIC - Department of Environment, Land, Water and Planning",-38.5801,143.7119,VIC
WEST BARWON COMP WER,233245,"VIC - Department of Environment, Land, Water and Planning",-38.52711738,143.723323,VIC
WEST BARWON RES H.G.,233244,"VIC - Department of Environment, Land, Water and Planning",-38.53133107,143.7199606,VIC
West Barwon Reservoir,RE750,VIC - Barwon Region Water Corporation (Barwon Water),-38.53182732,143.7209973,VIC
West Branch,603034,WA - Department of Water and Environmental Regulation,-34.98386958,117.7184696,WA
WEST BRK U/S GLENDON,210080,"NSW - Department of Planning, Industry and Environment – Water",-32.47159425,151.2833569,NSW
West Cameron,614038,WA - Department of Water and Environmental Regulation,-32.5937259,116.2432985,WA
West Cameron,509250,WA - Department of Water and Environmental Regulation,-32.59700332,116.263518,WA
West Canning Site 24,504024,WA - Department of Water and Environmental Regulation,-20.07004602,120.216928,WA
WEST CHANNEL,18301.1,"TAS - Department of Primary Industries, Parks, Water and Environment",-41.632881,146.964081,TAS
West Dalyup Hwy Bdge,601016,WA - Department of Water and Environmental Regulation,-33.70085865,121.5671282,WA
West End Hwy Pluvio,A5131017,SA - Department for Environment and Water,-35.86313279,136.8470817,SA
WEST GAWLER RIVER U/S ISANDULA RESERVOIR,14227.1,"TAS - Department of Primary Industries, Parks, Water and Environment",-41.251253,146.121139,TAS
West Gellibrand Reservoir,RE851,VIC - Barwon Region Water Corporation (Barwon Water),-38.59899654,143.6537143,VIC
West Gellibrand Reservoir Envrio,ME851,VIC - Barwon Region Water Corporation (Barwon Water),-38.59594709,143.6536173,VIC
West Midland Pool,6163952,WA - Department of Water and Environmental Regulation,-31.8878,115.9902,WA
West Midland Pool,6163999,WA - Department of Water and Environmental Regulation,-31.88780122,115.9902019,WA
West Midland Pool,6163953,WA - Department of Water and Environmental Regulation,-31.8878,115.9902,WA
West Midland Pool H,6163998,WA - Department of Water and Environmental Regulation,-31.88780122,115.9902019,WA
WEST MOORABOOL R,232236A,VIC - Central Highlands Water,-37.49527,144.07699,VIC
WEST MOORABOOL R,232236,"VIC - Department of Environment, Land, Water and Planning",-37.49661025,144.0748071,VIC
WEST MOORVILLE ROAD TRIAL CATCHMENT,14222.1,"TAS - Department of Primary Industries, Parks, Water and Environment",-41.059004,145.87545,TAS
West Talbot Road,510009,WA - Department of Water and Environmental Regulation,-31.94877394,116.4348152,WA
West Tennant C,R0290239,"NT - Department of Environment, Parks and Water Security",-19.564046,134.137248,NT
WESTCOOT @ DISAPPOIN,405287,"VIC - Department of Environment, Land, Water and Planning",-37.36626,145.13025,VIC
Western Ck @ Kuss Rd,143121A,"QLD - Department of Regional Development, Manufacturing and Water",-27.664892,152.541985,QLD
Western Creek,507013,WA - Department of Water and Environmental Regulation,-23.46161165,119.5583226,WA
WESTERN CREEK @ BANKTON RD BRIDGE,3395.1,"TAS - Department of Primary Industries, Parks, Water and Environment",-41.589049,146.537095,TAS
WESTERN CREEK D/S DALE BROOK,18213.1,"TAS - Department of Primary Industries, Parks, Water and Environment",-41.563692,146.588728,TAS
Western Fl/Mt Barker,A4261018,SA - Department for Environment and Water,-35.0793,138.847,SA
WHALAN @ EURABA,416072,"NSW - Department of Planning, Industry and Environment – Water",-28.80041344,149.6405999,NSW
Wharf Street Inlet,616137,WA - Department of Water and Environmental Regulation,-32.01848462,115.929868,WA
Wharf Street Outlet,616135,WA - Department of Water and Environmental Regulation,-32.02003255,115.9262287,WA
Wheatley Farm,607003,WA - Department of Water and Environmental Regulation,-34.3694038,116.2777233,WA
Wheelocks Farm,615606,WA - Department of Water and Environmental Regulation,-33.0254228,119.2142599,WA
Wheelocks Farm,510025,WA - Department of Water and Environmental Regulation,-33.0254228,119.2142599,WA
Whetstone,416401A,"QLD - Department of Regional Development, Manufacturing and Water",-28.49416531,150.9336108,QLD
Whetstone Weir,416401A,QLD - SunWater,-28.467399,150.954623,QLD
Whicher Range,610008,WA - Department of Water and Environmental Regulation,-33.80660677,115.4436039,WA
Whicher Range,509355,WA - Department of Water and Environmental Regulation,-33.80660677,115.4436039,WA
WHISKEY CK U/S MCCAL,404234,"VIC - Department of Environment, Land, Water and Planning",-36.79263276,146.208682,VIC
WHISKY CK DIV. WEIR,232243A,VIC - Central Highlands Water,-37.53756991,144.0748958,VIC
WHISKY CK DIV. WEIR,232243,"VIC - Department of Environment, Land, Water and Planning",-37.53756991,144.0748958,VIC
White Elephant,609022,WA - Department of Water and Environmental Regulation,-34.08873124,115.2004259,WA
White Gorge,913003A,"QLD - Department of Regional Development, Manufacturing and Water",-19.42694444,139.6194444,QLD
White Hills,913008A,"QLD - Department of Regional Development, Manufacturing and Water",-19.59472222,139.8405556,QLD
WHITE KANGAROO RIVULET U/S COAL RIVER,3209.1,"TAS - Department of Primary Industries, Parks, Water and Environment",-42.648766,147.46672,TAS
WHITE SPUR CREEK - AT ROAD BRIDGE,674.1,TAS - Hydro-electric Corporation (Hydro Tasmania),-41.88444445,145.5138889,TAS
WHITE SPUR POND - AT DAM,295.1,TAS - Hydro-electric Corporation (Hydro Tasmania),-41.89417222,145.5305806,TAS
White Swan,233232A,VIC - Central Highlands Water,-37.517683,143.924324,VIC
WHITEHEAD @ SEYMOUR,405273,"VIC - Department of Environment, Land, Water and Planning",-37.02,145.1383333,VIC
WHITEHEAD@MUMMEL G6,21210065,"NSW - Department of Planning, Industry and Environment – Water",-34.6595,149.5608,NSW
WHITEHEADS CREEK,405291,"VIC - Department of Environment, Land, Water and Planning",-37.03206769,145.2088422,VIC
WHITEHEADS@MUMMEL G1,21210060,"NSW - Department of Planning, Industry and Environment – Water",-34.6423,149.5663,NSW
