"Data Owner","Cluster","Count","Location","Longitude","Latitude","Stations","Percentage"
"QLD - Rockhampton Regional Council","35","2","QLD","150.4061572","-23.64198256",32," 0.15"
"QLD - SunWater","35","35","QLD","148.342866807415","-22.8231692456696",65," 2.59"
"QLD - Department of Regional Development, Manufacturing and Water","45","5","QLD","141.034741342053","-26.9853719410188",35," 0.37"
"SA - Department for Environment and Water","45","4","SA","139.539238498579","-26.882959126679",34," 0.58"
"QLD - Department of Regional Development, Manufacturing and Water","46","5","QLD","140.035424648981","-23.2014118150591",35," 0.37"
"QLD - Department of Regional Development, Manufacturing and Water","5","53","QLD","140.166515781731","-19.3824535211202",83," 3.93"
"QLD - SunWater","5","2","QLD","139.734708","-20.167982",32," 0.15"
"SA - Department for Environment and Water","10","7","SA","140.752200017257","-36.7354815815942",37," 1.02"
"SA - South Eastern Water Conservation and Drainage Board","10","96","SA","140.808178909883","-36.971835700501",126,"13.95"
"VIC - Barwon Region Water Corporation (Barwon Water)","10","58","VIC","144.315860258153","-37.8653114648738",88," 2.98"
"VIC - Central Highlands Water","10","42","VIC","143.675982447808","-37.3307602105644",72," 2.15"
"VIC - Department of Environment, Land, Water and Planning","10","367","VIC","143.072460176902","-37.6473745061332",397,"18.83"
"VIC - Gippsland and Southern Rural Water Corporation (Southern Rural Water)","10","56","VIC","143.74243035099","-38.0633916066361",86," 2.87"
"VIC - Goulburn-Murray Rural Water Corporation (Goulburn-Murray Water)","10","3","VIC","143.92090336688","-37.1113507558863",33," 0.15"
"VIC - Grampians Wimmera Mallee Water Corporation (GWMWater)","10","20","VIC","142.120233303367","-37.018438973562",50," 1.03"
"VIC - Melbourne Water Corporation (Melbourne Water)","10","23","VIC","144.387085037582","-37.7940985898044",53," 1.18"
"SA - Department for Environment and Water","13","15","SA","134.521705211268","-33.289832606133",45," 2.18"
"SA - Department for Environment and Water","27","3","SA","135.676502133281","-27.596399026545",33," 0.44"
"SA - Department for Environment and Water","36","25","SA","138.49495252473","-31.406330550241",55," 3.63"
"TAS - Department of Primary Industries, Parks, Water and Environment","21","149","TAS","147.24193","-42.725105",179,"50.68"
"TAS - Hydro-electric Corporation (Hydro Tasmania)","21","106","TAS","147.240557590148","-41.4651691939168",136,"36.05"
"TAS - TasWater","21","39","TAS","146.84432629695","-42.7746503632395",69,"13.27"
"WA - Department of Water and Environmental Regulation","1","67","WA","116.553404697857","-21.5871741985891",97," 4.05"
"WA - Water Corporation","1","5","WA","117.1161005","-21.0118435",35," 0.30"
"WA - Department of Water and Environmental Regulation","12","29","WA","118.520395528039","-20.6479074354836",59," 1.75"
"WA - Department of Water and Environmental Regulation","19","83","WA","114.913845312632","-28.9971409686801",113," 5.02"
"WA - Department of Water and Environmental Regulation","2","532","WA","117.118158536941","-33.4425764009392",562,"32.16"
"WA - Water Corporation","2","25","WA","115.110724681064","-33.9103415189251",55," 1.51"
"WA - Department of Water and Environmental Regulation","20","56","WA","126.778125398294","-16.5137832732299",86," 3.39"
"WA - Department of Water and Environmental Regulation","26","46","WA","120.166526473494","-22.8649614578367",76," 2.78"
"WA - Department of Water and Environmental Regulation","30","53","WA","125.873261009838","-17.9306735087448",83," 3.20"
"WA - Department of Water and Environmental Regulation","39","32","WA","115.0247167297","-24.9644850028738",62," 1.93"
"WA - Department of Water and Environmental Regulation","4","38","WA","121.984958822029","-18.8137465492305",68," 2.30"
"WA - Department of Water and Environmental Regulation","43","27","WA","122.012494736778","-33.7034753101509",57," 1.63"
"WA - Department of Water and Environmental Regulation","47","2","WA","121.6575616","-31.21148702",32," 0.12"
"WA - Department of Water and Environmental Regulation","48","7","WA","120.198027820436","-27.0440473435579",37," 0.42"
"WA - Department of Water and Environmental Regulation","6","519","WA","115.24957834082","-33.0815753409719",549,"31.38"
"WA - Water Corporation","6","63","WA","116.08895962657","-32.3967696166193",93," 3.81"
